,URL,Total_clicks,Unique_clicks,Digest_num,Ranking
0,https://www.newyorker.com/news/dispatch/joshua-wongs-long-campaign-for-the-future-of-hong-kong,19,19,26,2
1,http://www.theguardian.com/world/2019/oct/30/chile-protests-portraits-protesters-sebastian-pinera,19,17,26,25
2,https://www.newstatesman.com/world/asia/2019/10/if-they-don-t-change-we-will-burn-them-meet-youngsters-manning-frontline-hong,19,16,26,1
3,https://nationalpost.com/pmn/entertainment-pmn/u-s-warns-russian-trolls-stoking-conflict-in-chile,15,15,26,7
4,https://www.asiatimes.com/2019/10/opinion/beijing-could-be-on-the-verge-of-a-hong-kong-victory/,14,12,26,18
5,https://www.rand.org/blog/2019/10/how-to-resolve-the-hong-kong-crisis.html,12,10,26,6
6,https://thediplomat.com/2019/10/the-future-of-hong-kongs-autonomy/,11,10,26,11
7,https://www.theatlantic.com/international/archive/2019/10/hong-kong-protests-edward-leung/601015/,10,9,26,12
8,https://www.al-monitor.com/pulse/originals/2019/10/lebanon-protests-prime-minister-resigns-economic-crisis.html,10,9,26,14
9,https://novaramedia.com/2019/10/24/catalonia-alone-lessons-from-the-contradictions-of-the-independence-movement/,9,8,26,20
10,https://www.scmp.com/news/hong-kong/politics/article/3033770/there-silent-majority-hong-kong-yearning-speak-out,9,9,26,10
11,https://www.haaretz.com/middle-east-news/iran/anti-government-protests-in-iraq-and-lebanon-threatening-iran-s-regional-influence-1.8059140,8,8,26,8
12,https://www.opendemocracy.net/en/north-africa-west-asia/lebanons-october-revolution-must-go-on/,6,6,26,5
13,https://www.al-monitor.com/pulse/originals/2019/10/women-stand-strong-on-the-frontlines-of-lebanons-protests.html,6,4,26,16
14,https://www.cnn.com/2019/10/26/asia/hong-kong-destruction-support-intl-hnk/index.html,6,4,26,4
15,http://www.theguardian.com/world/2019/oct/29/iraqi-protesters-demonstrations-month-of-violence,6,6,26,3
16,https://www.evrensel.net/daily/389967/hope-and-chaos-in-beirut?a=5d633,6,6,26,9
17,https://www.irishtimes.com/news/world/europe/catalan-s-independence-project-struggles-to-establish-clear-roadmap-1.4055428,6,5,26,17
18,https://www.straitstimes.com/asia/east-asia/china-hints-at-enforcement-mechanism-to-protect-hong-kong,4,4,26,21
19,http://www.middleeasteye.net/news/protests-rage-hezbollahs-heartland-south-lebanon-despite-intimidation,4,4,26,15
20,https://theglobepost.com/2019/10/21/chile-social-unrest/,4,4,26,23
21,https://nationalinterest.org/feature/lebanese-prime-minister-resigns-amidst-countrywide-protests-92006,4,3,26,24
22,https://www.nytimes.com/2019/10/23/world/middleeast/lebanon-protests.html,2,2,26,13
23,https://www.scmp.com/news/hong-kong/politics/article/3033945/hong-kong-protests-chaos-returns-streets-yuen-long-riot,2,2,26,22
24,https://www.counterpunch.org/2019/10/22/pro-democracy-movement-in-haiti-swells-despite-police-violence/,2,2,26,19
25,https://www.nytimes.com/2019/07/02/world/asia/hong-kong-protest-explained.html,43,39,9,1
26,https://foreignpolicy.com/2019/07/01/the-dangerous-romance-of-hong-kong-protests/,22,17,9,3
27,https://www.macleans.ca/news/world/when-the-democratic-world-turned-its-back-on-hong-kongs-freedom-fighters/,15,14,9,2
28,https://www.newyorker.com/news/daily-comment/the-disillusion-and-frustration-of-a-new-generation-is-fuelling-hong-kongs-protests,15,7,9,5
29,https://www.newstatesman.com/world/asia/2019/07/should-uk-do-anything-about-unrest-hong-kong,9,7,9,7
30,https://www.nytimes.com/2019/07/01/opinion/hong-kong.html,8,8,9,16
31,https://www.stuff.co.nz/world/asia/113979502/why-hong-kong-protesters-rage-on-even-though-they-cannot-win,6,5,9,19
32,https://www.scmp.com/news/hong-kong/politics/article/3017327/it-wasnt-violence-violences-sake-only-unmasked-protester,6,6,9,4
33,https://www.macleans.ca/the-water-movement-inside-the-fight-for-hong-kong/,5,5,9,21
34,https://www.nytimes.com/2019/07/02/opinion/hong-kong-protest.html,5,5,9,9
35,https://www.haaretz.com/world-news/wires/1.7428655,3,1,9,20
36,https://www.scmp.com/news/hong-kong/politics/article/3017177/experts-warn-mental-health-crisis-triggered-extradition,3,3,9,18
37,https://www.straitstimes.com/asia/east-asia/police-move-to-retake-hk-legco-seized-by-protesters,2,2,9,25
38,https://www.telegraph.co.uk/news/2019/07/04/suicides-rock-hong-kong-protest-movement-despair-grows-citys/,2,2,9,22
39,https://www.thedailybeast.com/hong-kong-protests-demonstrators-seize-legislature-raise-british-colonial-flag-in-direct-challenge-to-china,2,2,9,12
40,https://www.washingtonpost.com/politics/2019/07/01/why-hong-kong-has-become-city-protests/,2,2,9,15
41,https://www.washingtonpost.com/opinions/2019/07/03/hong-kongs-protesters-are-not-radicals-they-just-want-be-heard/,1,1,9,24
42,https://www.nytimes.com/2019/07/01/world/asia/hong-kong-protest.html,1,1,9,6
43,https://www.ft.com/content/0bf8b7cc-9e57-11e9-9c06-a4640c9feebb,1,1,9,14
44,https://www.bbc.com/news/world-asia-china-48850110,1,1,9,23
45,https://multimedia.scmp.com/infographics/news/hong-kong/article/3016815/hong-kong-protest-city/index.html,1,1,9,13
46,https://www.wsj.com/articles/hong-kongs-desperate-cry-11562264502,1,1,9,8
47,https://foreignpolicy.com/2019/07/03/hong-kong-on-strike/,0,0,9,10
48,https://www.economist.com/asia/2019/07/01/hong-kong-protesters-storm-the-legislative-council,0,0,9,17
49,https://www.wsj.com/articles/hong-kong-braces-for-mass-protests-on-anniversary-of-return-to-chinese-rule-11561946128,0,0,9,11
50,https://thehill.com/opinion/healthcare/459499-ebola-in-the-drc-one-year-2000-deaths-and-counting,19,18,18,1
51,http://www.nature.com/articles/d41586-019-02415-9,15,12,18,5
52,http://theconversation.com/how-outbreaks-like-ebola-extract-huge-social-and-economic-costs-121832,13,13,18,2
53,https://www.newyorker.com/science/elements/is-ebola-evolving-into-a-more-deadly-virus,9,8,18,21
54,https://time.com/5650907/ebola-drugs-drc/,8,8,18,6
55,https://www.bloomberg.com/news/articles/2019-08-14/ebola-bond-pays-investors-millions-while-congo-battles-outbreak,6,6,18,4
56,https://www.japantimes.co.jp/opinion/2019/09/04/commentary/japan-commentary/stop-deadly-outbreaks-diseases-like-ebola-occur/,5,5,18,9
57,https://www.bloomberg.com/news/articles/2019-06-12/why-latest-ebola-outbreak-raises-alarms-far-and-wide-quicktake,5,5,18,16
58,https://slate.com/news-and-politics/2019/08/ebola-congo-emergency-poverty.html,4,4,18,24
59,https://www.nytimes.com/2019/08/08/books/review/richard-preston-crisis-in-the-red-zone.html,4,4,18,8
60,https://www.japantimes.co.jp/opinion/2019/08/10/editorials/ebola-continues-rage-africa/,2,2,18,23
61,https://www.theeastafrican.co.ke/scienceandhealth/Ebola-alters-life-for-dr-congo-rwanda-border-residents/3073694-5247330-u8soie/index.html,2,2,18,25
62,https://www.newtimes.co.rw/africa/chinas-medical-teams-help-resurrect-public-health-africa,2,2,18,14
