index,EUID,Thème,Clicks
0,ef6d3b2585,Politics,1
1,9bc060ac62,Politics,1
2,5609930021,Politics,1
3,5609930021,Politics,1
4,5609930021,Politics,2
5,5609930021,Politics,1
6,e1cb5d26ad,Politics,2
7,b8491b5349,Politics,1
8,b8491b5349,Politics,1
9,b8491b5349,Politics,1
10,5b6545e487,Politics,1
11,5b6545e487,Politics,1
12,c5069bf78a,Politics,1
13,41c495b46f,Politics,1
14,67edf8914d,Politics,1
15,67edf8914d,Politics,1
16,67edf8914d,Politics,1
17,7b24c303cb,Politics,1
18,305b82ad67,Politics,1
19,305b82ad67,Politics,1
20,0f6eb786fd,Politics,1
21,6f53a99b78,Politics,1
22,bf7078a4ff,Politics,1
23,bf7078a4ff,Politics,1
24,b08f4d2271,Politics,1
25,b08f4d2271,Politics,1
26,2fa88f2c1f,Politics,1
27,a7a6cbb258,Politics,1
28,9e3edf4761,Politics,1
29,eb99cff383,Politics,2
30,846e8946cc,Politics,1
31,846e8946cc,Politics,1
32,641b2d95be,Politics,1
33,641b2d95be,Politics,1
34,641b2d95be,Politics,1
35,641b2d95be,Politics,1
36,6d1efe0c25,Politics,1
37,8feef1ba3e,Politics,1
38,ce65e699fe,Politics,1
39,ce65e699fe,Politics,1
40,ce65e699fe,Politics,1
41,d26d704e67,Politics,1
42,150de6a794,Politics,1
43,150de6a794,Politics,1
44,150de6a794,Politics,1
45,a752d15fca,Politics,1
46,a752d15fca,Politics,1
47,a752d15fca,Politics,1
48,de70da82cf,Politics,1
49,de70da82cf,Politics,1
50,4eb5a381d7,Politics,3
51,4eb5a381d7,Politics,1
52,19726bd330,Politics,1
53,63fd0372ad,Politics,1
54,829d3ca9dd,Politics,1
55,30054747d7,Politics,1
56,30054747d7,Politics,1
57,4aa2da8475,Politics,1
58,4aa2da8475,Politics,1
59,cb45c4a106,Politics,3
60,cb45c4a106,Politics,3
61,22ef6305a6,Politics,1
62,22ef6305a6,Politics,1
63,c41a21bd02,Politics,1
64,0f70745966,Politics,1
65,5786f8603c,Politics,1
66,5786f8603c,Politics,1
67,9a1a88b8cb,Politics,1
68,9a1a88b8cb,Politics,1
69,9a1a88b8cb,Politics,1
70,9a1a88b8cb,Politics,2
71,34ac83fb5c,Politics,1
72,34ac83fb5c,Politics,1
73,34ac83fb5c,Politics,1
74,34ac83fb5c,Politics,1
75,89e434abbc,Politics,1
76,89e434abbc,Politics,1
77,f3b20d0f6b,Politics,1
78,786ba66db3,Politics,1
79,a1b5edba0e,Politics,1
80,a1b5edba0e,Politics,1
81,54073c7ef7,Politics,1
82,54073c7ef7,Politics,1
83,54073c7ef7,Politics,1
84,1fb14b8692,Politics,1
85,a7144995d6,Politics,1
86,760346381b,Politics,1
87,760346381b,Politics,1
88,760346381b,Politics,1
89,de80c56da6,Politics,1
90,3fe7e5fc7d,Politics,1
91,594dd25859,Politics,1
92,a76ecf1358,Politics,2
93,a76ecf1358,Politics,2
94,fd0ed2e441,Politics,1
95,37d693f797,Politics,1
96,8d09f07bb0,Politics,1
97,ee971bd231,Politics,1
98,ee971bd231,Politics,1
99,ee971bd231,Politics,1
100,ee971bd231,Politics,1
101,ee971bd231,Politics,1
102,ee971bd231,Politics,1
103,ee971bd231,Politics,1
104,ee971bd231,Politics,1
105,ee971bd231,Politics,1
106,ee971bd231,Politics,1
107,ee971bd231,Politics,1
108,ee971bd231,Politics,1
109,ee971bd231,Politics,1
110,ee971bd231,Politics,1
111,ee971bd231,Politics,1
112,64236351bf,Politics,2
113,f0196b2402,Politics,1
114,f0196b2402,Politics,1
115,85f85d4de9,Politics,1
116,57d78490d2,Politics,1
117,bc041913ad,Politics,1
118,bc041913ad,Politics,1
119,9b593af896,Politics,1
120,9b593af896,Politics,1
121,9b593af896,Politics,1
122,c8923180f2,Politics,1
123,5287f66a85,Politics,1
124,7b07749d28,Politics,1
125,7b07749d28,Politics,1
126,48946e7f32,Politics,1
127,04a9a61107,Politics,1
128,57c6beee03,Politics,1
129,29762208a4,Politics,1
130,29762208a4,Politics,1
131,efe5262311,Politics,1
132,efe5262311,Politics,1
133,f36ba36488,Politics,2
134,6f62567bcf,Politics,1
135,e5694c993c,Politics,5
136,e5694c993c,Politics,2
137,e5694c993c,Politics,4
138,56946adc93,Politics,1
139,56946adc93,Politics,1
140,56946adc93,Politics,1
141,ef8568b4c4,Politics,1
142,ef8568b4c4,Politics,1
143,9f38ba8899,Politics,1
144,9f38ba8899,Politics,1
145,bd493bb4c1,Politics,1
146,cd5391dd6f,Politics,1
147,d9390a439c,Politics,1
148,905f60450d,Politics,1
149,905f60450d,Politics,1
150,905f60450d,Politics,1
151,f739f3441f,Politics,1
152,cbe7d96257,Politics,1
153,1a40fe14af,Politics,1
154,daabdf7fa8,Politics,1
155,daabdf7fa8,Politics,1
156,daabdf7fa8,Politics,1
157,5be2a8d3eb,Politics,1
158,6e369d5af0,Politics,3
159,6a18034341,Politics,1
160,24cbdbd84b,Politics,1
161,1c7b72052c,Politics,1
162,e18c74d17a,Politics,1
163,72588b0ed5,Tech,1
164,9248e39983,Tech,1
165,9248e39983,Tech,1
166,9248e39983,Tech,1
167,9248e39983,Tech,1
168,9248e39983,Tech,1
169,9248e39983,Tech,1
170,9248e39983,Tech,1
171,9248e39983,Tech,1
172,72a3893e55,Tech,3
173,72a3893e55,Tech,3
174,72a3893e55,Tech,3
175,72a3893e55,Tech,3
176,5609930021,Tech,1
177,5609930021,Tech,1
178,5609930021,Tech,1
179,25a3b5041e,Tech,1
180,8e2d1e82ea,Tech,1
181,8e2d1e82ea,Tech,1
182,a2fcfb3e56,Tech,1
183,9143e27584,Tech,1
184,b138c7256f,Tech,1
185,67c5f957fe,Tech,1
186,907ec91301,Tech,1
187,907ec91301,Tech,1
188,e72a6a476a,Tech,1
189,e72a6a476a,Tech,1
190,52f4565a76,Tech,1
191,3cf97b483e,Tech,2
192,3cf97b483e,Tech,2
193,b8491b5349,Tech,1
194,201063c6b6,Tech,1
195,201063c6b6,Tech,2
196,3e11378e7e,Tech,1
197,167f25775b,Tech,1
198,167f25775b,Tech,1
199,7a51214d1b,Tech,1
200,7a51214d1b,Tech,1
