Digest number,Subject,Thème
6,South China in the Streets,Politics
7,Libra Rising,Tech
8,"Enter Candidates, Stage Left ",Politics
9,Hong Kong Protests Reignite,Politics
10,Iran's Enrichment Revived,Politics
11,Boris Johnson and the Hunt for Downing Street,Politics
12,FaceApp faces facts,Tech
13,Street smarts,Tech
14,Under the Influencers,Social Network
15,Self-Drive Yourself Crazy,Tech
16,Extremisms and the Threat to Multilateralism,Politics
17,Taking Your Face's Value,Tech
18,"Ebola, Looking Back and Back Again",Health
19,E-Cig Smoke Signals,Health
20,Struck Oil,Economy
21,Thomas Cooked,Business
22,Ripe for Impeachment?,Politics
23,Ankara Attacks,International Relationships
24,The Deepnews on ... 3D Printing,Tech

