Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue"
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Oct 26, 2018 02:56 pm",Friday,3,3,0,0,0,0,0,3,100.00%,6,0,0.00%,0,0,0,0,0,6bd8b0c192,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Oct 26, 2018 02:57 pm",Friday,3,3,0,0,0,0,0,3,100.00%,5,0,0.00%,0,0,0,0,0,720e4f541f,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Oct 26, 2018 03:01 pm",Friday,3,3,0,0,0,0,0,3,100.00%,5,2,66.67%,3,0,0,0,0,1fbcac3dd1,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 04, 2018 11:27 pm",Sunday,3,3,0,0,0,0,0,3,100.00%,5,1,33.33%,1,0,0,0,0,b06f0bccdd,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 05, 2018 11:02 pm",Monday,3,3,0,0,0,0,0,3,100.00%,10,1,33.33%,1,0,0,0,0,4ae3006f85,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 05, 2018 11:04 pm",Monday,3,3,0,0,0,0,0,3,100.00%,7,1,33.33%,6,0,0,0,0,2ab223a173,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 09, 2018 11:43 am",Friday,3,3,0,0,0,0,0,3,100.00%,10,1,33.33%,1,0,0,0,0,99f276081d,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 09, 2018 11:53 am",Friday,3,3,0,0,0,0,0,3,100.00%,6,1,33.33%,2,0,0,0,0,b3c209ce43,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 09, 2018 11:56 am",Friday,3,3,0,0,0,0,0,3,100.00%,6,1,33.33%,1,0,0,0,0,e07afddc84,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 09, 2018 11:59 am",Friday,3,3,0,0,0,0,0,3,100.00%,6,0,0.00%,0,0,0,0,0,5768fc1011,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 09, 2018 12:02 pm",Friday,3,3,0,0,0,0,0,3,100.00%,9,2,66.67%,7,0,0,0,0,bd1a6d7117,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 09, 2018 08:50 pm",Friday,3,3,0,0,0,0,0,2,66.67%,6,1,33.33%,2,0,0,0,0,07d8f82789,0,0,0
"VICTOR NEW TEMPLATE","Today test",Deepnews.ai,"Nov 09, 2018 10:08 pm",Friday,3,3,0,0,0,0,0,2,66.67%,9,2,66.67%,10,0,0,0,0,413d0c58b4,0,0,0
"VICTOR NEW TEMPLATE","Today test",for_victor,"Nov 11, 2018 05:52 pm",Sunday,1,1,0,0,0,0,0,1,100.00%,1,0,0.00%,0,0,0,0,0,b2f9d80130,0,0,0
"VICTOR NEW TEMPLATE","Today test",for_victor,"Nov 11, 2018 05:57 pm",Sunday,1,1,0,0,0,0,0,1,100.00%,2,1,100.00%,1,0,0,0,0,c02c1553c3,0,0,0
"VICTOR NEW TEMPLATE","Today test",for_victor,"Nov 11, 2018 06:05 pm",Sunday,1,1,0,0,0,0,0,1,100.00%,2,1,100.00%,2,0,0,0,0,1068a534ee,0,0,0
"VICTOR NEW TEMPLATE","Today test",for_victor,"Nov 12, 2018 02:48 pm",Monday,1,1,0,0,0,0,0,1,100.00%,2,1,100.00%,3,0,0,0,0,0db93f22f9,0,0,0
"VICTOR NEW TEMPLATE","Today test",for_victor,"Nov 12, 2018 04:03 pm",Monday,1,1,0,0,0,0,0,1,100.00%,1,0,0.00%,0,0,0,0,0,03a2653bb1,0,0,0
"VICTOR NEW TEMPLATE","Today test",for_victor,"Nov 12, 2018 04:42 pm",Monday,1,1,0,0,0,0,0,1,100.00%,1,1,100.00%,2,0,0,0,0,f73b0dab2b,0,0,0
"VICTOR NEW TEMPLATE","Today test",for_victor,"Nov 12, 2018 04:57 pm",Monday,1,1,0,0,0,0,0,1,100.00%,2,0,0.00%,0,0,0,0,0,d91f46d888,0,0,0
Financial_news_campaign,"Deep news for highly intelligent people @ Financial News",for_victor,"Nov 13, 2018 09:37 am",Tuesday,1,1,0,0,0,0,0,1,100.00%,1,1,100.00%,4,0,0,0,0,e0e9b21b10,0,0,0
"VICTOR NEW TEMPLATE","Today test",for_victor,"Nov 13, 2018 10:57 am",Tuesday,1,1,0,0,0,0,0,1,100.00%,3,0,0.00%,0,0,0,0,0,779619695c,0,0,0
Financial_news_campaign,"Deep news for highly intelligent people @ Financial News",for_victor,"Nov 13, 2018 11:59 am",Tuesday,1,1,0,0,0,0,0,1,100.00%,1,0,0.00%,0,0,0,0,0,921cb16e29,0,0,0
Digital_democracy_campaign,"Deep news for highly intelligent people @ Digital Democracy",for_victor,"Nov 15, 2018 10:14 am",Thursday,1,1,0,0,0,0,0,1,100.00%,2,1,100.00%,14,0,0,0,0,324205a78a,0,0,0
Financial_news_campaign,"Deep news for highly intelligent people @ Financial News",for_victor,"Nov 15, 2018 11:11 am",Thursday,1,1,0,0,0,0,0,1,100.00%,1,0,0.00%,0,0,0,0,0,93d6faabe8,0,0,0
Financial_news_campaign,"Deep news for highly intelligent people @ Financial News",Deepnews.ai,"Nov 15, 2018 11:51 am",Thursday,3,3,0,0,0,0,0,3,100.00%,4,2,66.67%,2,0,0,0,0,96771a0844,0,0,0
Techmeme_Mediagazer_campaign,"Deep news for highly intelligent people @ MediaGazer // Techmeme",Deepnews.ai,"Nov 16, 2018 08:04 am",Friday,3,3,0,0,0,0,0,3,100.00%,8,0,0.00%,0,0,0,0,0,8a47243154,0,0,0
Techmeme_Mediagazer_campaign,"Deep news for highly intelligent people @ MediaGazer // Techmeme",Deepnews.ai,"Nov 16, 2018 03:38 pm",Friday,3,3,0,0,0,0,0,2,66.67%,6,1,33.33%,1,0,0,0,0,8e58230e08,0,0,0
NAME_campaign,"Today's news",Deepnews.ai,"Nov 17, 2018 08:04 am",Saturday,3,3,0,0,0,0,0,2,66.67%,3,0,0.00%,0,0,0,0,0,d0c0f72b93,0,0,0
Digital_democracy_campaign,"Deep news for highly intelligent people @ Digital Democracy",Deepnews.ai,"Nov 19, 2018 08:03 am",Monday,3,3,0,0,0,0,0,3,100.00%,6,1,33.33%,4,0,0,0,0,9bdf1361b7,0,0,0
politics_campaign,"Deep news for highly intelligent people @ Financial News",Deepnews.ai,"Nov 21, 2018 01:34 pm",Wednesday,3,3,0,0,0,0,0,3,100.00%,8,2,66.67%,6,0,0,0,0,559a8a6c53,0,0,0
politics_campaign,"Deep news for highly intelligent people @ Financial News",Deepnews.ai,"Nov 21, 2018 02:06 pm",Wednesday,3,3,0,0,0,0,0,2,66.67%,2,0,0.00%,0,0,0,0,0,6a6f9513ce,0,0,0
politics_campaign,"Deep news for highly intelligent people @ Financial News",for_victor,"Nov 21, 2018 02:39 pm",Wednesday,1,1,0,0,0,0,0,1,100.00%,1,0,0.00%,0,0,0,0,0,ecac698ee5,0,0,0
politics_campaign,"Deep news for highly intelligent people @ Financial News",for_victor,"Nov 21, 2018 02:45 pm",Wednesday,1,1,0,0,0,0,0,1,100.00%,1,0,0.00%,0,0,0,0,0,2fd555b126,0,0,0
politics_campaign,"Deep news for highly intelligent people @ Financial News",Deepnews.ai,"Nov 21, 2018 02:53 pm",Wednesday,3,3,0,0,0,0,0,2,66.67%,2,0,0.00%,0,0,0,0,0,203214a347,0,0,0
politics_campaign,"Deep news for highly intelligent people @ Financial News",Deepnews.ai,"Nov 21, 2018 03:15 pm",Wednesday,3,3,0,0,0,0,0,2,66.67%,3,2,66.67%,9,0,0,0,0,7483f209d4,0,0,0
politics_campaign,"Deep news for highly intelligent people @ Financial News",Deepnews.ai,"Nov 21, 2018 04:22 pm",Wednesday,3,3,0,0,0,0,0,3,100.00%,6,2,66.67%,4,0,0,0,0,2034e6d272,0,0,0
Financial_news_campaign,"Deep news for highly intelligent people @ Financial News",Deepnews.ai,"Nov 22, 2018 10:47 am",Thursday,3,3,0,0,0,0,0,3,100.00%,5,1,33.33%,1,0,0,0,0,22f102d6d2,0,0,0
Techmeme_Mediagazer_campaign,"Deep news for highly intelligent people @ MediaGazer // Techmeme",Deepnews.ai,"Nov 23, 2018 10:24 am",Friday,3,3,0,0,0,0,0,3,100.00%,5,3,100.00%,11,0,0,0,0,d151ee522c,0,0,0
Techmeme_Mediagazer_campaign,"Deep news for highly intelligent people @ MediaGazer // Techmeme",Deepnews.ai,"Nov 23, 2018 12:43 pm",Friday,3,3,0,0,0,0,0,3,100.00%,4,0,0.00%,0,0,0,0,0,df189194f1,0,0,0
